,conc,total_volume,volume10,3000,1000,450,300,200,80,30,10,5,volume原液,3000,1000,450,300,200,80,30,10,5
0,10.0,4000,4000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10.11,4005,4000,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1
2,10.22,4010,4000,1,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0
3,10.34,4015,4000,1,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1,1
4,10.45,4020,4000,1,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0
5,10.56,4025,4000,1,1,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,2,1
6,10.67,4030,4000,1,1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,1,0,0
7,10.78,4035,4000,1,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0,1
8,10.89,4040,4000,1,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,1,1,0
9,10.91,3940,3900,1,0,2,0,0,0,0,0,0,40,0,0,0,0,0,0,1,1,0
10,11.0,4045,4000,1,1,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1
11,11.03,3945,3900,1,0,2,0,0,0,0,0,0,45,0,0,0,0,0,0,1,1,1
12,11.11,4050,4000,1,1,0,0,0,0,0,0,0,50,0,0,0,0,0,0,1,2,0
13,11.14,3950,3900,1,0,2,0,0,0,0,0,0,50,0,0,0,0,0,0,1,2,0
14,11.33,4060,4000,1,1,0,0,0,0,0,0,0,60,0,0,0,0,0,0,2,0,0
15,11.36,3960,3900,1,0,2,0,0,0,0,0,0,60,0,0,0,0,0,0,2,0,0
16,11.48,3965,3900,1,0,2,0,0,0,0,0,0,65,0,0,0,0,0,0,2,0,1
17,11.59,3970,3900,1,0,2,0,0,0,0,0,0,70,0,0,0,0,0,0,2,1,0
18,11.81,3980,3900,1,0,2,0,0,0,0,0,0,80,0,0,0,0,0,1,0,0,0
19,11.92,3985,3900,1,0,2,0,0,0,0,0,0,85,0,0,0,0,0,1,0,0,1
20,12.03,3990,3900,1,0,2,0,0,0,0,0,0,90,0,0,0,0,0,1,0,1,0
21,12.14,3995,3900,1,0,2,0,0,0,0,0,0,95,0,0,0,0,0,1,0,1,1
22,12.25,4000,3900,1,0,2,0,0,0,0,0,0,100,0,0,0,0,0,1,0,2,0
23,12.47,4010,3900,1,0,2,0,0,0,0,0,0,110,0,0,0,0,0,1,1,0,0
24,12.58,4015,3900,1,0,2,0,0,0,0,0,0,115,0,0,0,0,0,1,1,0,1
25,12.69,4020,3900,1,0,2,0,0,0,0,0,0,120,0,0,0,0,0,1,1,1,0
26,13.12,4040,3900,1,0,2,0,0,0,0,0,0,140,0,0,0,0,0,1,2,0,0
27,13.55,4060,3900,1,0,2,0,0,0,0,0,0,160,0,0,0,0,0,2,0,0,0
28,14.34,3940,3750,1,0,1,1,0,0,0,0,0,190,0,0,0,0,0,2,1,0,0
29,14.56,3950,3750,1,0,1,1,0,0,0,0,0,200,0,0,0,0,1,0,0,0,0
30,14.66,3955,3750,1,0,1,1,0,0,0,0,0,205,0,0,0,0,1,0,0,0,1
31,14.77,3960,3750,1,0,1,1,0,0,0,0,0,210,0,0,0,0,1,0,0,1,0
32,14.88,3965,3750,1,0,1,1,0,0,0,0,0,215,0,0,0,0,1,0,0,1,1
33,14.99,3970,3750,1,0,1,1,0,0,0,0,0,220,0,0,0,0,1,0,0,2,0
34,15.2,3980,3750,1,0,1,1,0,0,0,0,0,230,0,0,0,0,1,0,1,0,0
35,15.31,3985,3750,1,0,1,1,0,0,0,0,0,235,0,0,0,0,1,0,1,0,1
36,15.41,3990,3750,1,0,1,1,0,0,0,0,0,240,0,0,0,0,1,0,1,1,0
37,15.84,4010,3750,1,0,1,1,0,0,0,0,0,260,0,0,0,0,1,0,2,0,0
38,16.25,4030,3750,1,0,1,1,0,0,0,0,0,280,0,0,0,0,1,1,0,0,0
39,16.36,4035,3750,1,0,1,1,0,0,0,0,0,285,0,0,0,0,1,1,0,0,1
40,16.46,4040,3750,1,0,1,1,0,0,0,0,0,290,0,0,0,0,1,1,0,1,0
41,16.62,3940,3650,1,0,1,0,1,0,0,0,0,290,0,0,0,0,1,1,0,1,0
42,16.67,4050,3750,1,0,1,1,0,0,0,0,0,300,0,0,0,1,0,0,0,0,0
43,16.77,4055,3750,1,0,1,1,0,0,0,0,0,305,0,0,0,1,0,0,0,0,1
44,16.84,3950,3650,1,0,1,0,1,0,0,0,0,300,0,0,0,1,0,0,0,0,0
45,16.87,4060,3750,1,0,1,1,0,0,0,0,0,310,0,0,0,1,0,0,0,1,0
46,16.94,3955,3650,1,0,1,0,1,0,0,0,0,305,0,0,0,1,0,0,0,0,1
47,17.05,3960,3650,1,0,1,0,1,0,0,0,0,310,0,0,0,1,0,0,0,1,0
48,17.15,3965,3650,1,0,1,0,1,0,0,0,0,315,0,0,0,1,0,0,0,1,1
49,17.25,3970,3650,1,0,1,0,1,0,0,0,0,320,0,0,0,1,0,0,0,2,0
50,17.46,3980,3650,1,0,1,0,1,0,0,0,0,330,0,0,0,1,0,0,1,0,0
51,17.57,3985,3650,1,0,1,0,1,0,0,0,0,335,0,0,0,1,0,0,1,0,1
52,17.67,3990,3650,1,0,1,0,1,0,0,0,0,340,0,0,0,1,0,0,1,1,0
53,17.77,3940,3600,1,0,0,2,0,0,0,0,0,340,0,0,0,1,0,0,1,1,0
54,18.08,4010,3650,1,0,1,0,1,0,0,0,0,360,0,0,0,1,0,0,2,0,0
55,18.18,3960,3600,1,0,0,2,0,0,0,0,0,360,0,0,0,1,0,0,2,0,0
56,18.49,4030,3650,1,0,1,0,1,0,0,0,0,380,0,0,0,1,0,1,0,0,0
57,18.59,4035,3650,1,0,1,0,1,0,0,0,0,385,0,0,0,1,0,1,0,0,1
58,18.69,4040,3650,1,0,1,0,1,0,0,0,0,390,0,0,0,1,0,1,0,1,0
59,18.7,3985,3600,1,0,0,2,0,0,0,0,0,385,0,0,0,1,0,1,0,0,1
60,18.8,3990,3600,1,0,0,2,0,0,0,0,0,390,0,0,0,1,0,1,0,1,0
61,18.89,4050,3650,1,0,1,0,1,0,0,0,0,400,0,0,0,0,2,0,0,0,0
62,18.99,4055,3650,1,0,1,0,1,0,0,0,0,405,0,0,0,0,2,0,0,0,1
63,19.0,4000,3600,1,0,0,2,0,0,0,0,0,400,0,0,0,0,2,0,0,0,0
64,19.09,4060,3650,1,0,1,0,1,0,0,0,0,410,0,0,0,1,0,1,1,0,0
65,19.1,4005,3600,1,0,0,2,0,0,0,0,0,405,0,0,0,0,2,0,0,0,1
66,19.2,4010,3600,1,0,0,2,0,0,0,0,0,410,0,0,0,1,0,1,1,0,0
67,19.37,3940,3530,1,0,1,0,0,1,0,0,0,410,0,0,0,1,0,1,1,0,0
68,19.6,4030,3600,1,0,0,2,0,0,0,0,0,430,0,0,0,0,2,0,1,0,0
69,19.77,3960,3530,1,0,1,0,0,1,0,0,0,430,0,0,0,0,2,0,1,0,0
70,20.0,4050,3600,1,0,0,2,0,0,0,0,0,450,0,0,1,0,0,0,0,0,0
71,20.1,4055,3600,1,0,0,2,0,0,0,0,0,455,0,0,1,0,0,0,0,0,1
72,20.18,3980,3530,1,0,1,0,0,1,0,0,0,450,0,0,1,0,0,0,0,0,0
73,20.2,4060,3600,1,0,0,2,0,0,0,0,0,460,0,0,1,0,0,0,0,1,0
74,20.25,3950,3500,1,0,0,1,1,0,0,0,0,450,0,0,1,0,0,0,0,0,0
75,20.28,3985,3530,1,0,1,0,0,1,0,0,0,455,0,0,1,0,0,0,0,0,1
76,20.35,3955,3500,1,0,0,1,1,0,0,0,0,455,0,0,1,0,0,0,0,0,1
77,20.38,3990,3530,1,0,1,0,0,1,0,0,0,460,0,0,1,0,0,0,0,1,0
78,20.45,3960,3500,1,0,0,1,1,0,0,0,0,460,0,0,1,0,0,0,0,1,0
79,20.48,3995,3530,1,0,1,0,0,1,0,0,0,465,0,0,1,0,0,0,0,1,1
80,20.51,3940,3480,1,0,1,0,0,0,1,0,0,460,0,0,1,0,0,0,0,1,0
81,20.55,3965,3500,1,0,0,1,1,0,0,0,0,465,0,0,1,0,0,0,0,1,1
82,20.57,4000,3530,1,0,1,0,0,1,0,0,0,470,0,0,1,0,0,0,0,2,0
83,20.61,3945,3480,1,0,1,0,0,0,1,0,0,465,0,0,1,0,0,0,0,1,1
84,20.65,3970,3500,1,0,0,1,1,0,0,0,0,470,0,0,1,0,0,0,0,2,0
85,20.71,3950,3480,1,0,1,0,0,0,1,0,0,470,0,0,1,0,0,0,0,2,0
86,20.77,4010,3530,1,0,1,0,0,1,0,0,0,480,0,0,1,0,0,0,1,0,0
87,20.85,3980,3500,1,0,0,1,1,0,0,0,0,480,0,0,1,0,0,0,1,0,0
88,20.87,4015,3530,1,0,1,0,0,1,0,0,0,485,0,0,1,0,0,0,1,0,1
89,20.91,3960,3480,1,0,1,0,0,0,1,0,0,480,0,0,1,0,0,0,1,0,0
90,20.95,3985,3500,1,0,0,1,1,0,0,0,0,485,0,0,1,0,0,0,1,0,1
91,20.96,3940,3460,1,0,1,0,0,0,0,1,0,480,0,0,1,0,0,0,1,0,0
92,20.97,4020,3530,1,0,1,0,0,1,0,0,0,490,0,0,1,0,0,0,1,1,0
